2025-03-10 21:57:53,276 - Logging initialized (multi-board crawler)
2025-03-10 21:57:53,308 - Start crawling board=NBA, from index6503 to index6400
2025-03-10 21:57:53,308 - [NBA] Processing page 6503, progress: 1/104 (1.0%)
2025-03-10 21:57:53,492 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741582677.A.89A.html
2025-03-10 21:57:53,650 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741584483.A.492.html
2025-03-10 21:57:53,705 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741586385.A.97D.html
2025-03-10 21:57:53,880 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741587924.A.1CB.html
2025-03-10 21:57:54,090 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741600893.A.50A.html
2025-03-10 21:57:54,229 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741604760.A.BD0.html
2025-03-10 21:57:54,286 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741606417.A.CDA.html
2025-03-10 21:57:54,399 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741607727.A.839.html
2025-03-10 21:57:54,471 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741613043.A.4D3.html
2025-03-10 21:57:54,551 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741614000.A.D6C.html
2025-03-10 21:57:54,720 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1728456762.A.CB2.html
2025-03-10 21:57:54,860 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1739793100.A.B43.html
2025-03-10 21:57:54,990 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741580735.A.53B.html
2025-03-10 21:57:55,992 - [NBA] Processing page 6502, progress: 2/104 (1.9%)
2025-03-10 21:57:56,326 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741568422.A.698.html
2025-03-10 21:57:56,480 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741568761.A.6A2.html
2025-03-10 21:57:56,599 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741569878.A.9C9.html
2025-03-10 21:57:56,685 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741570008.A.201.html
2025-03-10 21:57:56,742 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741571019.A.A19.html
2025-03-10 21:57:56,796 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741571749.A.071.html
2025-03-10 21:57:56,899 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741571934.A.819.html
2025-03-10 21:57:57,078 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741572659.A.59B.html
2025-03-10 21:57:57,209 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741572979.A.3B4.html
2025-03-10 21:57:57,430 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741573395.A.EAF.html
2025-03-10 21:57:57,549 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741574242.A.6C8.html
2025-03-10 21:57:57,690 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741576413.A.1BA.html
2025-03-10 21:57:57,799 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741578285.A.BAF.html
2025-03-10 21:57:57,980 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741578328.A.823.html
2025-03-10 21:57:58,170 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741579725.A.C01.html
2025-03-10 21:57:58,289 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741580434.A.68C.html
2025-03-10 21:57:58,429 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741580478.A.4C6.html
2025-03-10 21:57:58,559 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741580735.A.53B.html
2025-03-10 21:57:58,719 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741581504.A.6C7.html
2025-03-10 21:57:58,829 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741581815.A.94B.html
2025-03-10 21:57:59,830 - [NBA] Processing page 6501, progress: 3/104 (2.9%)
2025-03-10 21:58:00,151 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741525941.A.ABA.html
2025-03-10 21:58:00,310 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741526201.A.3E1.html
2025-03-10 21:58:00,419 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741527199.A.A2C.html
2025-03-10 21:58:00,529 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741527353.A.F05.html
2025-03-10 21:58:00,586 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741531093.A.236.html
2025-03-10 21:58:00,709 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741531253.A.E87.html
2025-03-10 21:58:00,879 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741533286.A.4F5.html
2025-03-10 21:58:01,009 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741537618.A.8F8.html
2025-03-10 21:58:01,343 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741537826.A.0C2.html
2025-03-10 21:58:01,443 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741547352.A.EF3.html
2025-03-10 21:58:01,640 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741548843.A.D63.html
2025-03-10 21:58:01,759 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741557245.A.540.html
2025-03-10 21:58:01,869 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741558457.A.786.html
2025-03-10 21:58:01,914 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741559756.A.00F.html
2025-03-10 21:58:01,983 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741561330.A.822.html
2025-03-10 21:58:02,045 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741563029.A.9DB.html
2025-03-10 21:58:02,114 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741563049.A.198.html
2025-03-10 21:58:02,162 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741566624.A.4FF.html
2025-03-10 21:58:03,163 - [NBA] Processing page 6500, progress: 4/104 (3.8%)
2025-03-10 21:58:03,379 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741492908.A.65B.html
2025-03-10 21:58:03,438 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741493837.A.6E9.html
2025-03-10 21:58:03,680 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741494288.A.861.html
2025-03-10 21:58:03,849 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741494531.A.0CF.html
2025-03-10 21:58:03,999 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741495248.A.48F.html
2025-03-10 21:58:04,159 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741495279.A.B4F.html
2025-03-10 21:58:04,319 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741497265.A.814.html
2025-03-10 21:58:04,499 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741497425.A.760.html
2025-03-10 21:58:04,720 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741498145.A.027.html
2025-03-10 21:58:04,822 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741499230.A.8FC.html
2025-03-10 21:58:04,897 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741501025.A.E5B.html
2025-03-10 21:58:05,018 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741502082.A.71E.html
2025-03-10 21:58:05,086 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741503118.A.83A.html
2025-03-10 21:58:05,258 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741509697.A.5F7.html
2025-03-10 21:58:05,440 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741514421.A.59B.html
2025-03-10 21:58:05,569 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741517485.A.779.html
2025-03-10 21:58:05,729 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741518733.A.FA2.html
2025-03-10 21:58:05,859 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741523698.A.C7B.html
2025-03-10 21:58:06,860 - [NBA] Processing page 6499, progress: 5/104 (4.8%)
2025-03-10 21:58:06,949 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741478427.A.F3D.html
2025-03-10 21:58:07,021 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741478784.A.90D.html
2025-03-10 21:58:07,083 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741480223.A.A0E.html
2025-03-10 21:58:07,156 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741480228.A.AB6.html
2025-03-10 21:58:07,223 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741480819.A.BDC.html
2025-03-10 21:58:07,565 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741482018.A.BEA.html
2025-03-10 21:58:07,891 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741482022.A.54C.html
2025-03-10 21:58:08,018 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741484139.A.68B.html
2025-03-10 21:58:08,149 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741484462.A.B1F.html
2025-03-10 21:58:08,225 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741485156.A.3C3.html
2025-03-10 21:58:08,359 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741487120.A.E26.html
2025-03-10 21:58:08,411 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741489552.A.398.html
2025-03-10 21:58:08,518 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741490027.A.6FA.html
2025-03-10 21:58:08,582 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741490378.A.CD2.html
2025-03-10 21:58:08,708 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741490605.A.12D.html
2025-03-10 21:58:08,869 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741491111.A.5B4.html
2025-03-10 21:58:08,978 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741491835.A.A84.html
2025-03-10 21:58:09,043 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741492114.A.66F.html
2025-03-10 21:58:09,209 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741492491.A.3C8.html
2025-03-10 21:58:09,379 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741492848.A.49E.html
2025-03-10 21:58:10,381 - [NBA] Processing page 6498, progress: 6/104 (5.8%)
2025-03-10 21:58:10,541 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741414449.A.BE5.html
2025-03-10 21:58:10,699 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741414456.A.D00.html
2025-03-10 21:58:10,818 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741415056.A.4A1.html
2025-03-10 21:58:10,948 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741416750.A.693.html
2025-03-10 21:58:11,021 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741417899.A.CA0.html
2025-03-10 21:58:11,097 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741418678.A.06E.html
2025-03-10 21:58:11,163 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741418752.A.239.html
2025-03-10 21:58:11,268 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741418833.A.6AB.html
2025-03-10 21:58:11,342 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741420420.A.E31.html
2025-03-10 21:58:11,468 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741420492.A.E20.html
2025-03-10 21:58:11,789 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741424719.A.CF1.html
2025-03-10 21:58:11,999 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741427122.A.846.html
2025-03-10 21:58:12,129 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741428091.A.F89.html
2025-03-10 21:58:12,299 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741429192.A.44D.html
2025-03-10 21:58:12,428 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741430201.A.BB7.html
2025-03-10 21:58:12,510 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741433558.A.306.html
2025-03-10 21:58:12,730 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741442318.A.848.html
2025-03-10 21:58:12,795 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741448861.A.971.html
2025-03-10 21:58:12,868 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741473920.A.375.html
2025-03-10 21:58:12,911 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741476899.A.554.html
2025-03-10 21:58:13,914 - [NBA] Processing page 6497, progress: 7/104 (6.7%)
2025-03-10 21:58:14,030 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741402419.A.309.html
2025-03-10 21:58:14,249 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741402818.A.452.html
2025-03-10 21:58:14,378 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741403584.A.9D5.html
2025-03-10 21:58:14,558 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741403799.A.08B.html
2025-03-10 21:58:14,668 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741403865.A.C0A.html
2025-03-10 21:58:14,789 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741403873.A.1BE.html
2025-03-10 21:58:14,854 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741403919.A.F9B.html
2025-03-10 21:58:14,989 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741404928.A.CEA.html
2025-03-10 21:58:15,118 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741404938.A.CB6.html
2025-03-10 21:58:15,238 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741408006.A.3C0.html
