2025-03-10 20:02:16,431 - Logging initialized (crawler)
2025-03-10 20:02:16,459 - Start crawling Gossiping pages from index 38949 to index 38700
2025-03-10 20:02:16,459 - Processing page 38949, progress: 1/250 (0.4%)
2025-03-10 20:02:19,591 - Processing page 38948, progress: 2/250 (0.8%)
2025-03-10 20:02:22,452 - Processing page 38947, progress: 3/250 (1.2%)
2025-03-10 20:02:24,930 - Processing page 38946, progress: 4/250 (1.6%)
2025-03-10 20:02:27,569 - Processing page 38945, progress: 5/250 (2.0%)
2025-03-10 20:02:30,519 - Processing page 38944, progress: 6/250 (2.4%)
2025-03-10 20:02:33,201 - Processing page 38943, progress: 7/250 (2.8%)
2025-03-10 20:02:36,081 - Processing page 38942, progress: 8/250 (3.2%)
2025-03-10 20:02:38,657 - Processing page 38941, progress: 9/250 (3.6%)
2025-03-10 20:02:42,414 - Processing page 38940, progress: 10/250 (4.0%)
2025-03-10 20:02:45,556 - Processing page 38939, progress: 11/250 (4.4%)
2025-03-10 20:02:48,894 - Processing page 38938, progress: 12/250 (4.8%)
2025-03-10 20:02:51,290 - Processing page 38937, progress: 13/250 (5.2%)
2025-03-10 20:02:54,528 - Processing page 38936, progress: 14/250 (5.6%)
2025-03-10 20:02:57,376 - Processing page 38935, progress: 15/250 (6.0%)
2025-03-10 20:03:00,421 - Processing page 38934, progress: 16/250 (6.4%)
2025-03-10 20:03:03,165 - Processing page 38933, progress: 17/250 (6.8%)
2025-03-10 20:03:06,189 - Processing page 38932, progress: 18/250 (7.2%)
2025-03-10 20:03:09,258 - Processing page 38931, progress: 19/250 (7.6%)
2025-03-10 20:03:12,517 - Processing page 38930, progress: 20/250 (8.0%)
2025-03-10 20:03:15,302 - Processing page 38929, progress: 21/250 (8.4%)
2025-03-10 20:03:18,236 - Processing page 38928, progress: 22/250 (8.8%)
2025-03-10 20:03:21,165 - Processing page 38927, progress: 23/250 (9.2%)
2025-03-10 20:03:24,741 - Processing page 38926, progress: 24/250 (9.6%)
2025-03-10 20:03:27,712 - Processing page 38925, progress: 25/250 (10.0%)
2025-03-10 20:03:30,311 - Processing page 38924, progress: 26/250 (10.4%)
2025-03-10 20:03:32,817 - Processing page 38923, progress: 27/250 (10.8%)
2025-03-10 20:03:35,878 - Processing page 38922, progress: 28/250 (11.2%)
2025-03-10 20:03:38,386 - Processing page 38921, progress: 29/250 (11.6%)
2025-03-10 20:03:41,285 - Processing page 38920, progress: 30/250 (12.0%)
2025-03-10 20:03:44,007 - Processing page 38919, progress: 31/250 (12.4%)
2025-03-10 20:03:46,544 - Processing page 38918, progress: 32/250 (12.8%)
2025-03-10 20:03:49,761 - Processing page 38917, progress: 33/250 (13.2%)
2025-03-10 20:03:52,004 - Processing page 38916, progress: 34/250 (13.6%)
2025-03-10 20:03:54,358 - Processing page 38915, progress: 35/250 (14.0%)
2025-03-10 20:03:57,019 - Processing page 38914, progress: 36/250 (14.4%)
2025-03-10 20:03:59,680 - Processing page 38913, progress: 37/250 (14.8%)
2025-03-10 20:04:02,376 - Processing page 38912, progress: 38/250 (15.2%)
2025-03-10 20:04:05,484 - Processing page 38911, progress: 39/250 (15.6%)
2025-03-10 20:04:08,049 - Processing page 38910, progress: 40/250 (16.0%)
2025-03-10 20:04:10,901 - Processing page 38909, progress: 41/250 (16.4%)
2025-03-10 20:04:13,758 - Processing page 38908, progress: 42/250 (16.8%)
2025-03-10 20:04:16,643 - Processing page 38907, progress: 43/250 (17.2%)
2025-03-10 20:04:19,358 - Processing page 38906, progress: 44/250 (17.6%)
2025-03-10 20:04:21,952 - Processing page 38905, progress: 45/250 (18.0%)
2025-03-10 20:04:24,260 - Processing page 38904, progress: 46/250 (18.4%)
2025-03-10 20:04:27,430 - Processing page 38903, progress: 47/250 (18.8%)
2025-03-10 20:04:30,156 - Processing page 38902, progress: 48/250 (19.2%)
2025-03-10 20:04:32,741 - Processing page 38901, progress: 49/250 (19.6%)
2025-03-10 20:04:35,966 - Processing page 38900, progress: 50/250 (20.0%)
2025-03-10 20:04:39,228 - Processing page 38899, progress: 51/250 (20.4%)
2025-03-10 20:04:41,966 - Processing page 38898, progress: 52/250 (20.8%)
2025-03-10 20:04:44,813 - Processing page 38897, progress: 53/250 (21.2%)
2025-03-10 20:04:47,320 - Processing page 38896, progress: 54/250 (21.6%)
2025-03-10 20:04:50,011 - Processing page 38895, progress: 55/250 (22.0%)
2025-03-10 20:04:53,262 - Processing page 38894, progress: 56/250 (22.4%)
2025-03-10 20:04:55,719 - Processing page 38893, progress: 57/250 (22.8%)
2025-03-10 20:04:58,687 - Processing page 38892, progress: 58/250 (23.2%)
2025-03-10 20:05:01,570 - Processing page 38891, progress: 59/250 (23.6%)
2025-03-10 20:05:04,388 - Processing page 38890, progress: 60/250 (24.0%)
2025-03-10 20:05:07,058 - Processing page 38889, progress: 61/250 (24.4%)
2025-03-10 20:05:09,702 - Processing page 38888, progress: 62/250 (24.8%)
2025-03-10 20:05:13,002 - Processing page 38887, progress: 63/250 (25.2%)
2025-03-10 20:05:15,884 - Processing page 38886, progress: 64/250 (25.6%)
2025-03-10 20:05:18,404 - Processing page 38885, progress: 65/250 (26.0%)
